customer_id,tenure_months,age,gender,monthly_charges,churn,total_charges,churn_probability,survival_months,survival_probability,recommendation
CUST066,2,49,Male,116.36,0,232.72,0.38,14,0.57,Engage with standard retention strategy
CUST067,6,24,Female,105.3,0,631.8,0.08,9,0.37,Engage with standard retention strategy
CUST068,22,68,Male,49.44,0,1087.68,0.78,1,0.81,Offer discount & loyalty program
CUST069,10,39,Female,58.51,1,585.1,0.56,13,0.43,Engage with standard retention strategy
CUST070,4,45,Female,105.11,0,420.44,0.42,4,0.69,Engage with standard retention strategy
CUST071,22,19,Male,51.69,0,1137.18,0.91,1,0.88,Offer discount & loyalty program
CUST072,18,59,Male,36.95,0,665.1,0.11,32,0.36,Engage with standard retention strategy
CUST073,12,62,Female,75.68,0,908.16,0.49,34,0.67,Engage with standard retention strategy
CUST074,2,23,Female,113.62,0,227.24,0.01,28,0.46,Engage with standard retention strategy
CUST075,10,45,Male,89.6,0,896.0,0.47,31,0.54,Engage with standard retention strategy
CUST076,4,45,Female,77.01,1,308.04,0.06,8,0.63,Engage with standard retention strategy
CUST077,14,61,Male,29.72,0,416.08,0.12,26,0.55,Engage with standard retention strategy
CUST078,16,61,Female,81.5,0,1304.0,0.12,34,0.75,Engage with standard retention strategy
CUST079,15,37,Male,119.01,0,1785.15,0.65,3,0.63,Engage with standard retention strategy
CUST080,8,47,Male,34.01,0,272.08,0.75,12,0.7,Offer discount & loyalty program
CUST081,14,28,Male,71.83,0,1005.62,0.58,1,0.81,Engage with standard retention strategy
CUST082,23,45,Female,107.74,1,2478.02,0.96,5,0.68,Offer discount & loyalty program
CUST083,8,42,Female,94.08,0,752.64,0.37,30,0.7,Engage with standard retention strategy
CUST084,21,56,Male,89.7,1,1883.7,0.29,30,0.69,Engage with standard retention strategy
CUST085,16,50,Female,90.25,1,1444.0,0.87,17,0.56,Offer discount & loyalty program
CUST086,13,18,Male,55.95,0,727.35,0.22,23,0.53,Engage with standard retention strategy
CUST087,18,44,Male,49.36,0,888.48,0.96,15,0.92,Offer discount & loyalty program
CUST088,15,69,Female,100.94,0,1514.1,0.01,21,0.72,Engage with standard retention strategy
CUST089,21,30,Female,101.01,0,2121.21,0.97,14,0.47,Offer discount & loyalty program
CUST090,24,58,Male,106.71,0,2561.04,0.04,2,0.64,Engage with standard retention strategy
CUST091,13,20,Female,111.32,0,1447.16,0.89,11,0.53,Offer discount & loyalty program
CUST092,9,56,Female,71.13,0,640.17,0.53,34,0.94,Engage with standard retention strategy
CUST093,15,23,Male,70.15,0,1052.25,0.99,34,0.31,Offer discount & loyalty program
CUST094,13,25,Male,99.83,1,1297.79,0.07,18,0.46,Engage with standard retention strategy
CUST095,1,44,Female,85.0,0,85.0,0.55,30,0.55,Engage with standard retention strategy
CUST096,7,26,Male,90.2,1,631.4,0.97,15,0.64,Offer discount & loyalty program
CUST097,9,54,Male,99.58,0,896.22,0.52,27,0.89,Engage with standard retention strategy
CUST098,24,50,Female,109.0,0,2616.0,0.63,34,0.36,Engage with standard retention strategy
CUST099,1,68,Male,53.8,0,53.8,0.7,33,0.86,Engage with standard retention strategy
CUST100,12,59,Male,57.56,0,690.72,0.45,24,0.34,Engage with standard retention strategy
