customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
CUST00020,Female,0,Yes,No,19,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.64,1608.16
CUST00021,Male,0,Yes,No,14,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.54,1043.56
CUST00022,Female,1,No,No,47,No,Yes,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,25.12,1180.64
CUST00023,Female,1,Yes,No,70,Yes,No,No,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),94.55,6618.5
CUST00024,Female,1,Yes,Yes,20,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),70.53,1410.6
CUST00025,Female,1,No,Yes,41,Yes,No phone service,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),84.77,3475.57
CUST00026,Female,1,Yes,Yes,25,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),70.26,1756.5
CUST00027,Female,0,No,Yes,13,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,69.18,899.34
CUST00028,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,37.18,2082.08
CUST00029,Female,0,No,Yes,36,No,No,DSL,Yes,No internet service,No internet service,No,No,No,Two year,No,Bank transfer (automatic),47.87,1723.32
CUST00030,Male,0,Yes,Yes,57,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),35.89,2045.73
CUST00031,Male,1,Yes,No,20,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.57,791.4
CUST00032,Female,0,Yes,Yes,68,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),117.3,7976.4
CUST00033,Female,1,No,Yes,2,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Credit card (automatic),35.31,70.62
CUST00034,Female,0,Yes,No,36,No,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),46.93,1689.48
CUST00035,Male,1,No,Yes,48,No,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),79.06,3794.88
CUST00036,Female,1,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,81.02,1458.36
CUST00037,Male,0,Yes,No,11,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.4,389.4
CUST00038,Male,0,No,Yes,60,No,No phone service,DSL,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Mailed check,99.37,5962.2
CUST00039,Male,0,Yes,Yes,40,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),98.52,3940.8
CUST00040,Male,0,Yes,Yes,32,No,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.73,1399.36
CUST00041,Male,1,Yes,No,49,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),48.87,2394.63
CUST00042,Female,0,Yes,Yes,67,No,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Two year,Yes,Credit card (automatic),113.8,7624.6
CUST00043,Female,0,Yes,Yes,70,Yes,No,No,No internet service,No,No,No,No,No,One year,No,Mailed check,102.57,7179.9
CUST00044,Female,1,No,No,32,Yes,No phone service,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),89.78,2872.96
CUST00045,Female,0,No,Yes,23,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),28.22,649.06
CUST00046,Female,0,No,No,60,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),61.83,3709.8
CUST00047,Male,0,Yes,No,60,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,75.93,4555.8
CUST00048,Female,0,Yes,Yes,27,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,38.74,1045.98
CUST00049,Female,0,Yes,No,57,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Electronic check,64.82,3694.74
CUST00050,Male,1,No,No,42,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,80.1,3364.2
CUST00051,Female,0,Yes,Yes,40,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,Two year,No,Mailed check,52.74,2109.6
CUST00052,Male,0,No,No,38,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Credit card (automatic),98.09,3727.42
CUST00053,Female,0,No,No,48,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,104.04,4993.92
CUST00054,Male,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,52.36,837.76
CUST00055,Female,0,Yes,Yes,69,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,103.87,7167.03
CUST00056,Female,1,No,Yes,69,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),30.36,2094.84
CUST00057,Male,0,Yes,No,64,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.77,6641.28
CUST00058,Male,1,No,Yes,4,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.28,141.12
CUST00059,Male,1,Yes,No,1,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,28.29,28.29
CUST00060,Male,0,Yes,No,21,No,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),84.18,1767.78
CUST00061,Male,0,No,No,56,No,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),67.19,3762.64
CUST00062,Male,0,Yes,No,65,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,110.79,7201.35
CUST00063,Male,0,No,No,15,Yes,No phone service,No,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,56.32,844.8
CUST00064,Male,1,Yes,No,50,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,48.72,2436.0
CUST00065,Female,0,No,No,38,No,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),70.07,2662.66
CUST00066,Female,0,No,Yes,39,No,No phone service,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,65.59,2558.01
CUST00067,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),54.44,2014.28
CUST00068,Female,0,No,No,59,Yes,No,No,No internet service,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,89.37,5272.83
CUST00069,Female,0,Yes,No,58,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,95.96,5565.68
CUST00070,Female,0,Yes,Yes,9,Yes,No phone service,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,105.3,947.7
CUST00071,Female,1,Yes,No,63,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Two year,No,Credit card (automatic),117.29,7389.27
CUST00072,Male,1,No,Yes,62,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),46.67,2893.54
CUST00073,Female,0,No,Yes,48,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.61,4397.28
CUST00074,Male,0,Yes,Yes,63,No,No phone service,DSL,No,No internet service,No,Yes,No,Yes,Two year,No,Credit card (automatic),59.43,3744.09
CUST00075,Female,0,Yes,No,31,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),87.71,2719.01
CUST00076,Female,1,No,No,6,No,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),67.6,405.6
CUST00077,Female,0,Yes,Yes,20,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),119.38,2387.6
CUST00078,Male,1,Yes,Yes,19,No,Yes,No,No,No,No,No internet service,No,No,Two year,Yes,Electronic check,92.89,1764.91
CUST00079,Female,0,No,Yes,25,No,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),115.25,2881.25
CUST00080,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,103.5,6934.5
CUST00081,Female,0,No,Yes,14,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.29,1544.06
CUST00082,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),101.44,1318.72
CUST00083,Female,1,No,Yes,26,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,65.92,1713.92
CUST00084,Male,1,Yes,No,39,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,45.18,1762.02
CUST00085,Male,0,Yes,Yes,57,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Mailed check,57.03,3250.71
CUST00086,Female,0,No,No,27,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.02,594.54
CUST00087,Male,1,Yes,No,25,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,72.4,1810.0
CUST00088,Female,1,No,No,62,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,70.51,4371.62
CUST00089,Female,1,Yes,No,65,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Two year,No,Credit card (automatic),72.53,4714.45
CUST00090,Female,1,No,No,24,No,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,117.4,2817.6
CUST00091,Female,0,No,No,2,No,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),111.15,222.3
CUST00092,Female,1,No,Yes,71,No,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),36.17,2568.07
CUST00093,Female,0,No,No,43,No,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),56.89,2446.27
CUST00094,Female,1,Yes,Yes,41,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,62.4,2558.4
CUST00095,Female,1,Yes,No,5,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),56.05,280.25
CUST00096,Female,1,No,No,38,No,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.85,3794.3
CUST00097,Female,1,No,Yes,51,Yes,No phone service,DSL,No internet service,No,No,Yes,No,Yes,One year,No,Electronic check,72.4,3692.4
CUST00098,Female,1,No,No,22,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.21,1698.62
CUST00099,Male,0,Yes,Yes,49,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,105.3,5159.7
CUST00100,Male,0,Yes,Yes,42,Yes,No phone service,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.59,4224.78
CUST00101,Female,1,Yes,Yes,18,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,33.22,597.96
CUST00102,Female,1,Yes,Yes,68,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Electronic check,91.39,6214.52
CUST00103,Female,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,63.54,3177.0
CUST00104,Female,1,No,No,10,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,No,Mailed check,49.46,494.6
CUST00105,Female,1,No,Yes,11,No,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.0,275.0
CUST00106,Female,0,Yes,No,7,No,Yes,DSL,No,No,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),68.72,481.04
CUST00107,Female,1,Yes,No,23,Yes,No,No,Yes,No internet service,No,No,No internet service,No,Two year,No,Credit card (automatic),55.54,1277.42
CUST00108,Female,1,Yes,Yes,40,No,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.15,1806.0
CUST00109,Male,0,No,No,35,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,89.47,3131.45
CUST00110,Female,0,No,Yes,71,No,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),96.95,6883.45
CUST00111,Male,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,44.48,2401.92
CUST00112,Female,1,No,No,8,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,No,Electronic check,24.94,199.52
CUST00113,Female,0,Yes,No,46,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),104.88,4824.48
CUST00114,Male,0,Yes,No,14,No,No,DSL,No,No internet service,No internet service,No,No,No,One year,No,Bank transfer (automatic),21.0,294.0
CUST00115,Female,0,No,Yes,47,Yes,No phone service,No,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),113.71,5344.37
CUST00116,Male,0,Yes,Yes,41,No,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),82.76,3393.16
CUST00117,Female,0,No,No,59,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,52.18,3078.62
CUST00118,Female,0,Yes,No,69,Yes,No,No,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,44.65,3080.85
CUST00119,Male,1,No,No,11,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),20.9,229.9
CUST00120,Female,1,No,No,1,No,No phone service,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),43.55,43.55
CUST00121,Male,0,No,Yes,6,No,Yes,DSL,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,33.77,202.62
CUST00122,Female,0,Yes,No,2,No,Yes,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),81.22,162.44
CUST00123,Male,0,Yes,Yes,2,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),36.65,73.3
CUST00124,Male,1,No,Yes,26,No,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),72.86,1894.36
CUST00125,Female,1,No,No,39,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),79.01,3081.39
CUST00126,Female,1,Yes,No,32,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.8,1593.6
CUST00127,Male,1,Yes,No,0,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,23.51,0.0
CUST00128,Female,1,Yes,Yes,7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,23.73,166.11
CUST00129,Female,1,No,No,31,Yes,No,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,22.63,701.53
CUST00130,Female,1,Yes,No,47,No,No,No,No internet service,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,93.91,4413.77
CUST00131,Male,1,Yes,Yes,3,No,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,No,Credit card (automatic),51.8,155.4
CUST00132,Male,1,No,No,69,No,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),99.63,6874.47
CUST00133,Male,0,Yes,Yes,18,Yes,Yes,No,Yes,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),63.17,1137.06
CUST00134,Male,0,Yes,No,31,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,65.3,2024.3
CUST00135,Male,0,Yes,Yes,8,No,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,71.29,570.32
CUST00136,Male,0,No,No,11,No,No phone service,No,No,No internet service,No internet service,No,No,Yes,One year,No,Electronic check,91.3,1004.3
CUST00137,Male,1,No,No,10,No,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),47.35,473.5
CUST00138,Male,1,No,Yes,45,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Electronic check,32.16,1447.2
CUST00139,Male,0,No,Yes,15,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),75.61,1134.15
CUST00140,Female,1,No,No,0,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),52.7,0.0
CUST00141,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Credit card (automatic),64.25,3983.5
CUST00142,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,Yes,Credit card (automatic),84.69,1693.8
CUST00143,Female,0,Yes,Yes,29,No,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Electronic check,69.41,2012.89
CUST00144,Female,1,Yes,Yes,12,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card (automatic),82.03,984.36
CUST00145,Male,1,No,No,33,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),74.42,2455.86
CUST00146,Male,0,Yes,No,3,Yes,No,No,No internet service,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),93.98,281.94
CUST00147,Male,1,Yes,Yes,27,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),90.59,2445.93
CUST00148,Male,0,No,Yes,58,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,73.42,4258.36
CUST00149,Female,0,Yes,Yes,26,No,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),87.89,2285.14
CUST00150,Male,0,Yes,Yes,68,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Mailed check,107.36,7300.48
CUST00151,Male,0,Yes,No,24,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,63.23,1517.52
CUST00152,Male,1,Yes,No,2,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),61.28,122.56
CUST00153,Male,1,Yes,Yes,67,No,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,96.42,6460.14
CUST00154,Male,1,No,Yes,24,No,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,One year,No,Mailed check,78.26,1878.24
CUST00155,Female,0,No,Yes,19,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,27.1,514.9
CUST00156,Male,1,No,No,33,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),109.21,3603.93
CUST00157,Female,0,Yes,Yes,25,No,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,23.08,577.0
CUST00158,Male,1,No,No,4,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No,Two year,No,Mailed check,94.84,379.36
CUST00159,Female,1,Yes,Yes,60,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No,One year,No,Bank transfer (automatic),95.88,5752.8
CUST00160,Male,1,Yes,No,8,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),115.31,922.48
CUST00161,Male,0,Yes,Yes,49,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Mailed check,25.41,1245.09
CUST00162,Female,1,Yes,No,5,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),79.69,398.45
CUST00163,Female,1,No,Yes,59,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,62.78,3704.02
CUST00164,Female,0,No,Yes,43,No,No,No,No,Yes,No internet service,Yes,No,No internet service,One year,No,Credit card (automatic),53.06,2281.58
CUST00165,Male,1,Yes,Yes,10,Yes,No,No,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),29.03,290.3
CUST00166,Female,0,No,No,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),76.27,4957.55
CUST00167,Male,1,Yes,Yes,46,No,No phone service,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),67.9,3123.4
CUST00168,Male,0,No,No,2,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,30.46,60.92
CUST00169,Female,0,No,No,29,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,81.25,2356.25
CUST00170,Female,1,Yes,Yes,20,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,93.8,1876.0
CUST00171,Male,0,No,Yes,27,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),96.73,2611.71
CUST00172,Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,110.54,6742.94
CUST00173,Female,0,No,No,32,Yes,Yes,No,No,No internet service,Yes,No,No,Yes,Two year,Yes,Electronic check,60.95,1950.4
CUST00174,Female,0,Yes,Yes,34,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),115.31,3920.54
CUST00175,Female,0,Yes,No,51,Yes,No,No,Yes,No,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),106.54,5433.54
CUST00176,Male,0,No,No,33,No,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Electronic check,49.65,1638.45
CUST00177,Male,1,No,Yes,40,No,No phone service,DSL,No,No,No,No internet service,Yes,Yes,One year,No,Mailed check,35.93,1437.2
CUST00178,Male,0,Yes,Yes,50,No,No phone service,No,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,63.54,3177.0
